"Street","Suburb","State","Postcode","Charger Plug Type","Total Chargers","Charge Speed (kW)","Installation Date","Network Name","Charger Manufacturer","Plugshare Score","Latest Comments","URL","Name"
"40 St Andrews Terrace","Port Lincoln","SA","5606","TYPE_2, AS3112, TESLA_S, THREE_PHASE_32A","4","22","2022-12-07T09:56:32Z, 2022-12-07T09:57:05Z, 2022-12-29T10:58:54Z, 2023-07-28T07:17:45Z","","","10"," (Rating: 1), Thanks Oliver, providing a service where the town council is sorely lacking. You're a true gentleman and scholar  (Rating: 1),  (Rating: 1), What a life saver when accomodation is not accommodating. I can't believe the lack of EV charging options in such a beautiful place. This place could be full of EV tourists. This service will enable us to fully enjoy our time here in Port Lincoln without range anxiety for the return trip. Despite the owners absence, we were still able to charge with his simple instructions. Thanks Oliver! (Rating: 1), Oliver is very happy to help you charge. He has a private business and the plug is not visible from the street. 
He is performing a public service until the needed infrastructure is rolled out. 
🙏🏾🙏🏾 (Rating: 1),  (Rating: 1),  (Rating: 1), Thankyou Oliver! (Rating: 1), Thank you Ollie! Not a lot of sun out so will donate to Ronald McDonald charity.  (Rating: 1), Oliver the owner of the building is a super friendly Model Y owner who came after hours to let us use his charger. Prefers use during day light hours to harness renewables from solar but happy to let us charge overnight with a donation to Ronald McDonald charity. Thank you Oliver!  (Rating: 1), Very helpful and flexible man accommodated our needs. Charger in great condition and faster than other option in local area. We are very appreciative. Five stars  (Rating: 1), Lovely fella helped us out with charge. Fast charging, but day only to avoid fees. (Rating: 1)","https://www.plugshare.com/location/476730","St Andrews Terrace"
"11 Port Wakefield Hwy","Port Wakefield","SA","5550","COMBO_TYPE2, COMBO_TYPE2","1","","2023-07-04T05:22:18Z","","","","Where will the charger be installed, I am guessing in the small car park area between the BP and United at the back next to south bound highway? -- checkin created before location officially marked open (Rating: 0), As per AEVA meeting last night - Construction starting this month -- checkin created before location officially marked open (Rating: 0), Any community updates on progress? Would be great if commissioning is complete by summer -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/538107","RAA Charge - Port Wakefield (Coming Soon)"
"192 Wedgewood Rd","Seddon","SA","5223","J1772, J1772","1","","2013-12-04T00:29:18Z","","Coulomb Technologies","4.1","Looks to still be broken. Much more modern dual port unit, so disappointing. (Rating: -1), Constantly reboots  (Rating: -1), Doesn’t work at all (Rating: -1), RFID Card from PO it wouldn't accept. Couldn't use . (Rating: -1), This charging station is useless. Do not rely on it. Yes it will start charging (if you can manage to unlock the plugs from thier holsters), but the unit continuously reboots every minute or so making it impossible to make any real progress. Reducing the charge rate via the car makes no difference.  If you are in dire need and have your granny charger you can find regular 10A plugs behind the council building in a camping / caravan area. (Rating: -1), Update , does work as per my comment below BUT the unit reboots , assuming to much load and old equipment , reboot takes about 3 min but charging starts after , so still can be used but don’t bet on it …  (Rating: 0), You need a RFID card , iPhone card works , 30km a hr in 
Units are very weathered 
2x plugs here  (Rating: 1), Worked with ChargePoint RFID card.  (Rating: 1),  (Rating: 1),  (Rating: 1), Works! (Rating: 1),  (Rating: 1), Slow but works. 27km/h (Rating: 1), Type 1 charging at 30 Amps. Got as much as 42 km/h charge for Model 3 (Rating: 1)","https://www.plugshare.com/location/37261","Kangaroo Island Town Hall"
"77 Broken Head Rd","Suffolk Park","NSW","2481","TESLA_S, TESLA_S","2","22, 22","2016-09-12T18:36:59Z, 2016-09-12T18:37:23Z","Tesla Destination","Tesla, Tesla","9.3"," (Rating: 1),  (Rating: 1), 1 unit inop, second is tripping unless I slow the charging rate to circa 40k/h. Arrived here on 8% and big journey tomorrow hence likely to need charger until midnight. Room b46 if in dire straits - ask reception to wake me if essential. (Rating: 1), Thanks for this. Needed it. Only one of two is working at 13kWh (Rating: 1),  (Rating: 1), Only 1/2 stations operational but very handy if you’re staying at the hotel (Rating: 1), Only one of two chargers working. (Rating: 1), Power fault with both chargers. Reception said repair is being arranged. (Rating: -1), Two chargers can be used simultaneously by parking one vehicle in unmarked spot on north side. 
Resort is now named Crystalbrook Byron (Rating: 1),  (Rating: 1), Charging while having a meal in the restaurant (Rating: 1), Works well with BMW i3s. Will stay at this hotel next month. R/wallstreetsilver (Rating: 0),  (Rating: 1), 16A, charging at about 80km/h (Rating: 1),  (Rating: 1),  (Rating: 1), The other comments are right - the chargers are not correctly aligned with the parking spots, so you might have to park outside the spot. But they work great otherwise (Rating: 1), Eazy access  (Rating: 1), 3/16a 244v  (Rating: 1), That post was for super Charger macadamia castle Not B.B. Resort  (Rating: 1), Macadamias were nice very fast Charger and lots o them. Good food. Pretty average coffee though. Lots of roadworks south means long range of 500 km (Rating: 1), 55km/hr. (Rating: 1), Great location to stay. Both chargers charge at 12kW. Restaurant has great food, beach is a 15 mom walk.  (Rating: 1), 3 phase 16 a max.  (Rating: 1),  (Rating: 1), Easy to find, turn left at round about in front of reception and drive to end of carpark
Charging at 50kph (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/95491","Byron at Byron Resort and Spa"
"2 The Terrace","Brunswick Heads","NSW","2483","TESLA_S","1","3","2015-09-28T18:18:11Z","Tesla Destination","Tesla","8","Nice motel with very helpful manager. Charging for guests only (fair enough too). Charging space not designated for EV, but empty when I was there. (Rating: 1), Definitely not a Destination Charger in the sense that it is not available at all to anyone other than residents of the hotel. Should be removed as a designated Destination Charger as it is not generally available to the public. Don’t bother coming here if you need to charge. Plus usually ICE’d.  (Rating: -1), Tesla charger in universal mode. (Rating: 1),  (Rating: 1),  (Rating: 1), Excellent accommodation and a good meal next door at the Hotel.  (Rating: 1), My wife Abi and I had a great visit to Brunswick Heads and stayed at the River Inn. Charged up the Leaf with an adapter from the Telsa destination charger. Worked fine, access no problem. (Rating: 1), Southbound (Rating: 1), Northbound (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Restaurant near the charger kitchen closed by 9pm the pub around the corner is open late for dinner. Slow charger about 25km/h.  (Rating: 1)","https://www.plugshare.com/location/72276","Brunswick River Inn"
"874 Chapel Hill Rd","McLaren Vale","SA","5171","TESLA_S, TESLA_S","2","14, 14","2019-05-07T18:50:30Z, 2020-09-30T15:02:53Z","Tesla Destination","Tesla, Tesla","9"," (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 3-phase 16A (Rating: 1), Prime parking position (Rating: 1),  (Rating: 1), Amazing biew (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/189899","Chapel Hill Winery"
"1A Rugless Terrace","Glenelg East","SA","5045","COMBO_TYPE2, COMBO_TYPE2","1","","2023-07-04T05:07:02Z","","","","","https://www.plugshare.com/location/538087","RAA Charge Planned site - Metro West (Coming Soon)"
"397 Sir Donald Bradman Dr","Adelaide Airport","SA","5950","CHADEMO, COMBO_TYPE2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2","7","","2023-09-19T01:40:02Z, 2023-09-26T03:10:51Z, 2023-09-26T03:10:52Z, 2023-09-26T03:10:53Z, 2023-09-26T03:10:54Z, 2023-09-26T03:10:55Z, 2023-09-26T03:10:56Z","","","","Shell outing of AC charging incoming -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/559602","IKEA (Coming Soon)"
"null Unnamed Road","McLaren Vale","SA","5171","TESLA_S, TESLA_S","2","22, 22","2016-12-16T01:20:28Z, 2016-12-16T01:21:01Z","Tesla Destination","Tesla, Tesla","10","What a beautiful place to spend an hour or two topping up (Rating: 1), Round Australia clockwise from Perth.
https://m.facebook.com/groups/189311120049312
 (Rating: 1), With the biodynamic crew... will be here another hour 

It is a great spot, I highly recommend the grenache :-) (Rating: 1), Great spot. No cost as it's solar powered. (Rating: 1), Lovely garden for wine tasting. (Rating: 1), Charged at around 20kw while attending Bob Brown Foundation event for the Tarkine. Incredible. Stunning setting and beautifully hosted. (Rating: 1), Lovely venue and great wine. Charged 80kms while having a burger.  (Rating: 1),  (Rating: 1), All three chargers did not have power. Tried turning on and off but did not work. (Rating: -1), Beautiful winery with summer outdoor venue that’s open past 5pm. Charger reported error at first but worked a couple of seconds later.  (Rating: 1), Great winery - worth a stop! (Rating: 1), Fantastic EV charging location! Contact me via NeedToCharge if you need the charger.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Charger not always on. There's an isolater switch behind the sign, switch it on and you're good to go  (Rating: 1), 14A 3-phase (45km/h on Tesla Model3) (Rating: 1), Great place for a relaxing summer afternoon  (Rating: 1), Topping up car and ourselves  (Rating: 1),  (Rating: 1), Great place.  (Rating: 1), Great location (Rating: 1), Great place to charge and have a wine while you wait! (Rating: 1), Out the back in the overflow carpark.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Great wines and volts!! I charged at 80km/h. (Rating: 1), Charged my Tesla M3 here today. No problems  (Rating: 0), Circuit keeps tripping, owner is aware of issue so hopefully will be fixed soon. Great spot for wine tasting! (Rating: -1), Neither charger powered, despite resetting and flicking the breaker. Still a great place and very friendly (Rating: -1), Fantastic wines, and great service! (Rating: 1), Right station started and then stopped with led off. Reset button worked but charging didn’t resume. Plugged into left station and charging now. 3 phase 22kw goodness.  (Rating: 1),  (Rating: 1), Charging Tessie  (Rating: 1),  (Rating: 1), Great facility and great wine while you charge (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/101540","Fox Creek Wines"
"4 Young St","Blackwood","SA","5051","COMBO_TYPE2, COMBO_TYPE2, TYPE_2","2","150","2023-07-04T04:58:14Z, 2023-09-01T18:10:46Z","","","7.4"," (Rating: 1), Now live on Chargefox app!  (Rating: 1), Worked successfully with RFID card (Rating: 1), Went there but not showing on Chargefox app. Need an RFID card. (Rating: -1), Had to get Support team to activate as App not recognising station yet. Charges 59c/kW and 68c for peak/evening.  (Rating: 1), Type 2 - power metre fault (Rating: -1), Apparently awaiting council to complete civil works, chargers have been active over a month (Rating: 0), Charger screens are on but area remains fenced off and inaccessible. Charging not available currently (Rating: 0), Still under construction  (Rating: -1), Now active on ChargeFox! -- checkin created before location officially marked open (Rating: 0), Chargers are installed! Looks like site works are the only thing that remain! -- checkin created before location officially marked open (Rating: 0), Main library building is expected to be finished by 1st Sept. Chargers are on site, ready to be installed. Hopefully not too long now 🤞 -- checkin created before location officially marked open (Rating: 0), Not long now and this Rapid DC charger will be live. -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/538080","Blackwood Library and Community Centre"
"5 Fitzgerald Rd","Pasadena","SA","5042","TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, TYPE_2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2, COMBO_TYPE2","9","150","2022-11-18T00:15:46Z, 2022-12-02T22:33:18Z, 2022-12-02T22:33:20Z, 2022-12-02T22:33:21Z, 2022-12-02T22:33:32Z, 2022-12-02T22:33:33Z, 2022-12-02T22:33:34Z, 2022-12-02T22:33:35Z, 2023-03-10T03:08:01Z","","Kempower","","This site is now showing in the 'Smart Charge' app map, with an opening date of Q3 2023 -- checkin created before location officially marked open (Rating: 0), so sign if any activity -- checkin created before location officially marked open (Rating: 0), MMc Thank you for finding out about the power problem!!! -- checkin created before location officially marked open (Rating: 0), Planet Ark Power says won’t be live until Q1 2024 as that’s when power will be available. -- checkin created before location officially marked open (Rating: 0), Kempower chargers, very nice. Hopefully more reliable than the Tritium chargers built locally 👎 -- checkin created before location officially marked open (Rating: 0)","https://www.plugshare.com/location/473712","Pasadena Shopping Centre - Foodland (Coming Soon)"
"82 Second Terrace","Bedford Park","SA","5042","COMBO_TYPE2, CHADEMO, CHADEMO, COMBO_TYPE2","2","75, 75","2023-08-03T22:57:20Z, 2023-08-03T22:57:20Z","Chargefox","Tritium, Tritium","10","Omg .
So disappointing, just imagine if there was a petrol pump down with no power, it's ridiculous. (Rating: -1), Both ChargeFox stations are ""out of order"", parts being ordered apparently  (Rating: -1), Left hand unit seems to have problems, right hand one charging fine now (Rating: 1),  (Rating: 1),  (Rating: 1), Working with the card.  (Rating: 1),  (Rating: 1), Almost empty car park but it is the weekend. (Rating: 1), It's works! Via a RFID
Station 2116 (Rating: 1),  (Rating: 1),  (Rating: -1), App says fault, but after 2 attempts got one on left working. Earlier I got a few kWh out of the one on the right but kept stopping. (Rating: 1), The first station is working, just as it was a couple of months ago. The second station is still marked faulty in the app. (Rating: 1), Neither station works. Both faulty. ChargeFox support say they have no idea when they will be fixed  (Rating: -1), Both faulted (Rating: -1), Charged for a couple minutes then fell over with a fault. ChargeFox is aware of the issue and have ordered a part (Rating: 1), Both chargers are down.  (Rating: -1), Only getting 10kw (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Last night I ran flat and was back on the road after 10 mins charging here.  What a relief! (Rating: 1), Only getting 10kw of the stated 75kw (Rating: 1), Starts then stops after 30 secs on right side charger (Rating: -1),  (Rating: 1), If you're here, I'll pay for your charging (Rating: 1),  (Rating: 1), Still appears only one unit operating 
Finished at 1410 (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), About 40 minutes to go.  (Rating: 1), Be here approx 30 mins - 45 mins. Other charger still down (Rating: 1),  (Rating: 1), One unit operational, the second unit has faulted. (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), One being used and one currently waiting. Only one station working. CBF waiting.  (Rating: -1),  (Rating: 1), One of two functional. Other unit has been out of service for 3 weeks!
The screen states available but 3 weeks ago, that was misleading  (Rating: 1), About 40 min. The other charger is not working.  (Rating: 1),  (Rating: 1), The northern charging station is not working (Rating: 0), One off line for several days  (Rating: 0),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/461187","Flinders University - Car Park 2"
"390 Churchill Rd","Prospect","SA","5082","COMBO_TYPE2, COMBO_TYPE2, TYPE_2, TYPE_2","2","","2023-07-04T05:06:03Z, 2023-09-21T06:39:26Z","","","","","https://www.plugshare.com/location/538086","RAA Charge - Churchill Centre (Coming Soon)"
"310 Finniss St","Marion","SA","5043","CHADEMO, COMBO_TYPE2","1","25","2021-06-18T19:25:14Z","JOLT","","7"," (Rating: 1), Finish at 7 pm (Rating: 0),  (Rating: 1), Charging ok for me 👍 (Rating: 1), Neither CCS or chademo working. Starts a charge and disconnects after a minute  (Rating: -1), Finish charging at 7 pm (Rating: 0), Charger out of order according to Jolt app. (Rating: -1), Charge start 9:45 will be there for about an hour (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), I'll be stopping the charge on half an hour. feel free to unplug. (Rating: 1), Charging for a long road trip tomorrow (Rating: 1), Charging now and in the cinemas, can’t unplug but message me and I can end charging so it can be taken out and put into your car  (Rating: 1), Working well again (Rating: 1), Here until 13.15  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Jolt should be commended for getting the charger here back online so quickly. Other network providers take notice. Does any local sheet metal shop want to have a go at fixing the damage someone caused to the cabinet I wonder?  (Rating: 1), Second time I’ve used this one: works well. (Rating: 1), Unit is down unable to use. (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: 1), 1145am looking more likely (Rating: 0),  (Rating: 1), I am at Marion doing some shopping message. Be about 1/2 hour (Rating: 1), Here for about 20 min (Rating: 1), Took less than 1 min to connect, no issues (Rating: 1),  (Rating: 1), Charger died during charging and had to use emergency cable unlock procedure (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Can't make it start the charge. Tried many times. (Rating: -1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Currently stuck plugged in, Jolt is working in a solution. My Leaf will either disengage in about half an hour when it's reached full charge, or they will be contacting me soon regarding that they've escalated it. (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Single CCS plug currently occupied. (Rating: 1), Working well, needs the app. First 7kw/h are free every day (Rating: 1)","https://www.plugshare.com/location/324046","Diagonal Rd & Finniss St Parking Lot"
"null null","Enfield","SA","5085","CHADEMO, COMBO","1","50","2022-12-03T05:55:07Z","JOLT","Tritium","8.6","Will be here for half an hour (Rating: 0), Leaving about 7:20 am (Rating: 1), Here until 7:15 (Rating: 1), Easy to use with App. (Rating: 1), Empty this time on a Tuesday, quick 7kw top up (Rating: 1), CCS is offline  (Rating: -1), This is crazy busy all the time. There is some poor etiquette going on here. Several repeat offenders appear to be using multiple accounts, getting out every 10mins or so unplugging, originally i thought they were having issues, but several times now witnessed same people. I wouldn't mind so much if it were just a couple of times but 4 or 5 times is not fair to those just wanting a quick topup of 10 -15% (Rating: 1),  (Rating: 1), 5:30PM (Rating: 1), Will be here for 30mins (Rating: 1),  (Rating: 1),  (Rating: 1), Make sure your app is downloaded and ready (Rating: 1),  (Rating: 1), Clean and working. Free 7kwh is a good incentive  (Rating: 1), Arrived at 62km. Oh well, next one (Rating: -1),  (Rating: 1), Should be finished by 4pm (Rating: 1), Leaving about 7:10am (Rating: 1),  (Rating: 1), Here for the free charge, also we don't need CHAdemMO. Change it please  (Rating: 1), Works well with the jolt app.  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Leaving about 7:15 am (Rating: 1),  (Rating: 1),  (Rating: 1), Leaving about 7:30am (Rating: 1),  (Rating: 1),  (Rating: 1), Leaving about 4:20pm (Rating: 1), Be here 20 minutes  (Rating: 1), Wouldn’t start charging and then displayed the finished screen?
Went to another Jolt charger and able to charge ok
 (Rating: -1), Here for 29 minutes  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), No problems did cut back to 37.5 KW a few times (load management?) (Rating: 1)","https://www.plugshare.com/location/476078","Enfield Community Centre"
"79 King William Rd","Goodwood","SA","5034","CHADEMO, COMBO_TYPE2","1","","2023-05-22T05:10:59Z","","",""," (Rating: -1), Perplexed as to why it's on Plugshare if it's not being shared?  (Rating: 0)","https://www.plugshare.com/location/525694","LMS Energy"
"401 Greenhill Rd","Tusmore","SA","5065","TYPE_2, TYPE_2, TYPE_2, COMBO_TYPE2, COMBO_TYPE2, CHADEMO, COMBO_TYPE2","3","22, 7, 200","2023-08-01T23:42:27Z, 2023-09-05T17:51:35Z, 2023-09-05T17:51:35Z","Chargefox","Kempower","10","Looks like they’ve bumped up that charging rates. 

Now charging at 120kW.  (Rating: 1), 50% to 90% in 29 minutes. Maxed out at 71Kw (Rating: 1), Stopped for some reason. Had to restart.  (Rating: 1),  (Rating: 1), Charging today at 121 kW. Previously had charging between 60 to 80 kW (Rating: 1), Will be here till around 4pm (Rating: 1),  (Rating: 1),  (Rating: 1), This carpark has two separate charging stations over 100m apart at opposite ends of the large carpark. It should be shown on Plugshare with two separate map pins, as it was a few weeks ago. (Rating: -1),  (Rating: 1), There is a sign on the charger that says “Council vehicles only”.

Chargefox needs to clarify if this charger is only for the council or open to the public. (Rating: 0), This station is nice. It is close to the Burnside Village shopping centre. The only criticism I have of RAA is the fact that the price is a little high. (Rating: 1), Couldn’t get more than 10kW out of either A or B charger.  (Rating: 0),  (Rating: 1), Fast but costly  (Rating: 1), 200kW. Max charge rate achieved 11kW.
 (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1), Speed started at 79kW went up to 89 kW after battery heating (Rating: 1),  (Rating: 1), Great to see some higher speed chargers being installed.  (Rating: 1), Something not right 10 kw max (Rating: 1), Arrived at 5%. Yeah I think I'll be a regular here. (Rating: 1),  (Rating: 1), Arrived with 5% output power as is before.
800v - 160KW max output.
400v - 80KW max output (Rating: 1), Great setup but only getting a max of 45kW. I’ll assume this is as it’s not yet “officially” opened. (Rating: 1),  (Rating: 1), Looks like 1/2 of the posts are fully powered. 

One at 200, one at 160? -- checkin created before location officially marked open (Rating: 0), It's working. Not at it's full potential power yet. I think soon? -- checkin created before location officially marked open

800v - 160KW max output.
400v - 80KW max output. (Rating: 0), BYD charged here. Just opened  -- checkin created before location officially marked open (Rating: 0), Now Open! -- checkin created before location officially marked open (Rating: 0), 1. Unlock port A on the app
2. Press the flashing green button on charger 
3. Plug cable to box
4. Plug cable to car  (Rating: 1), Port A and Port B both broken.  

when activating successfully, no current flows.
 (Rating: -1), I was using port B, turned on via app but it didn't charge  (Rating: -1), Coming along nicely, 8/8/2023😄 -- checkin created before location officially marked open (Rating: 0),  (Rating: 1), First issue: cables have been swapped over and secured to the wrong sides of the charger, so Type 2 is on Type 1 side (Port A) and vice versa. 
Second issue: the “start cut out timer” for the unit is very short, meaning that you have a very short period of time to plug the cable in after you select “unlock” in the app.
Third issue: once you’ve got it charging, the “stop” button on the charger doesn’t work. You can press it; it beeps; but it doesn’t do anything, meaning your car will remain tethered to the charger.it can only be stopped using the app.
I called Chargefox, and the person was friendly but didn’t appear to think that my reporting any of this would result in any change. They just said they’d log it as feedback. 

Anyway, the system does work but you need to keep the above in mind. Several people seem to have reported issues with this unit. Hope it gets sorted out soon.  (Rating: 1), Works well. Now problem.  (Rating: 1), Model 3. Tried port 1 &2 all broken  (Rating: -1),  (Rating: -1), Would not charge  (Rating: -1), It shows charging on app but with 0kwh for few minutes. Chargefox staff could not do nothing to help.  (Rating: -1),  (Rating: 1), Back in 10-15 minutes.  (Rating: 1),  (Rating: 1), Very expensive. 1dollar for .87kw (Rating: 0),  (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/533099","Burnside Council"
"1A Stephens Ave","Torrensville","SA","5031","J1772","1","","2023-07-14T22:28:42Z","","","","","https://www.plugshare.com/location/541234","RIVENDELL (Coming Soon)"
"40 Gordon Ave","Enfield","SA","5085","COMBO_TYPE2, COMBO_TYPE2","1","75","2023-09-21T22:53:40Z","Chargefox","Tritium","","Only accessible during opening hours 8am-6pm. There is an on site cafe (Rating: 0),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/559628","EverGreen"
"278-270 Montacute Rd","Rostrevor","SA","5073","CHADEMO, COMBO_TYPE2","1","25","2021-06-18T19:17:29Z","JOLT","","10","Made it with 2% (Rating: 1), Quick charge 15mins (Rating: 1), About 50min (Rating: 1), Topup after long trip (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Quick charge (Rating: 1),  (Rating: 1), 1hr (Rating: 1), Top up (Rating: 1), Will stay until 9 at latest (Rating: 1), Topup (Rating: 1),  (Rating: 1),  (Rating: 1), Getting 7kw while having coffee (Rating: 1), Topping up. (Rating: 1), A quick top up (Rating: 1), Charging plus getting pizza (Rating: 1),  (Rating: 1), 7 free plus 7 paid (Rating: 1),  (Rating: 1),  (Rating: 1), Working now (Rating: 1), Lowest I've been, 3% (Rating: 1), Great to have Rostrevor pizza and St George bakery nearby. (Rating: 1), App says that charger is offline due to no network connection (Rating: -1), Quick topup while visiting bakery (Rating: 1), Top up (Rating: 1), Quick topup (Rating: 1), Quick topup (Rating: 1),  (Rating: 1), Time for a coffee at St Georges Bakehouse (Rating: 1), Getting abt 14kwh (Rating: 1), 7kwh free + 7kwh payed (Rating: 1), Quick top up (Rating: 1),  (Rating: 1), First charge here, just a quick test.
23.77kw (Rating: 1), Collected the free 7kw. Great charger location 200m from my parents home  (Rating: 1),  (Rating: 1),  (Rating: 1), Checking in again for the daily charge (Rating: 1),  (Rating: 1), All done without any issue. (Rating: 1),  (Rating: 1), No issues, worked first shot 👍 (Rating: 1),  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/324044","Montacute Rd Carpark"
"12 Thompson Ct","Mount Barker","SA","5251","J1772","1","","2023-07-15T06:05:01Z","","","","","https://www.plugshare.com/location/541327","Mount Barker (Coming Soon)"
"64 North Terrace","Kent Town","SA","5067","TESLA_S, TESLA_S, J1772","3","","2019-08-19T22:54:09Z, 2019-08-19T22:54:09Z, 2020-01-02T02:33:54Z","","","","Charged as a visitor. Non reserved Tesla Destination charger is 40Amp 3 phase and unlocked for legacy mode (Rating: 1)","https://www.plugshare.com/location/203582","Base 64"
"19 Olivers Rd","McLaren Vale","SA","5171","TESLA_S, TESLA_S, THREE_PHASE_32A, THREE_PHASE_32A","4","22, 22","2017-09-27T21:54:05Z, 2017-09-27T21:54:46Z, 2018-03-24T02:02:22Z, 2018-03-24T02:02:25Z","Tesla Destination","Tesla, Tesla","10"," (Rating: 1), Beaut restaurant  (Rating: 1), 22kw (Rating: 1),  (Rating: 1), Works perfectly. Wine tasty. (Rating: 1), Excellent, short cable so you need to park close.  Gained 100km range while tasting some mead (Rating: 1),  (Rating: 1), Charger works great!  (Rating: 1), Tesla charger so had to reset and restart a number of times but with persistence got the pairing to activate and got 11.4kW out of it (Rating: 1), Used the left one well as the right charger wasn't working properly. (Rating: 1),  (Rating: 1), Great winery (Rating: 1), Bit tight for park as ice car impinging on park spot.  (Rating: 1), 1 park ICED (Rating: 1), 
Beautiful day in the Maclaren Vale  (Rating: 1),  (Rating: 1), Both chargers working again. Tested both. 16A 240v

Plus two three phase outlets!  (Rating: 1), Free Fuel! 
16/16A • 245v • 88 km/hr  (Rating: 1), Awesome experience. This is a really fancy cellar door with amazing food and wines. Make sure you book so they are expecting you.  (Rating: 1),  (Rating: 1), 2 x ICE'd (Rating: -1),  (Rating: -1),  (Rating: 1), Not iced at 10am!! But not 22kW. But 12kW ok (Rating: 1),  (Rating: 1),  (Rating: 1),  Both spots were iced. Needs better signage. Mention the signage inside if you have a chance :) (Rating: -1), thankyou for the free charging and great tasting. The bottles bought were consumed with zest (Rating: 1),  (Rating: 1),  (Rating: 1), 82km/h charge and a beautiful winery! (Rating: 1),  (Rating: 1), Charging Nissan Leaf with Type2 connector. 
Two charging station on site (lower car park of Maxwell winery)
There are 2 Tesla chargers but also 2 x 32Amp outlets. So, if you do not have a Tesla, you need a 32Amp portable charger cable or an adapter  (Rating: 1),  (Rating: 1)","https://www.plugshare.com/location/130456","Maxwell of McLaren Vale"
"263a Main Rd","McLaren Vale","SA","5171","TESLA_S","1","14","2017-12-27T22:59:20Z","Tesla Destination","Tesla","10"," (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1),  (Rating: 1), Will be out by 7pm (Rating: 1), Set to universal, apparently. (Rating: 1), Had to tell the Gecko that had moved into the charge plug to find other lodgings!  (Rating: 1), charger in good working condition (Rating: 1), Great place to stay , 4 nights. Free charging  (Rating: 1), Nice 3 phase x 16 amps. Day one of Model 3 ownership.  (Rating: 1), No restaurant, normally meant for paying customers but very friendly (Rating: 1)","https://www.plugshare.com/location/139156","McLaren Vale Motel & Apartments"
"288 Unley Rd","Hyde Park","SA","5061","COMBO_TYPE2","1","","2023-09-25T23:45:36Z","","","","","https://www.plugshare.com/location/561341","Ford"
"22 Secker Rd","Mount Barker","SA","5251","TESLA_S","1","","2023-03-04T02:14:22Z","","","7.9","I suspect this might now be restricted to known VINs as I had a solid blue light and no scheduled charging. (Rating: -1), Here till 9am

Thanks for the charge (Rating: 1), Great access.  (Rating: 1), Thanks again Solar Wholesalers. Amazing. (Rating: 1),  (Rating: 1), All good; very accessible & simple (not to mention cheap); thanks Solar Wholesalers!! (Rating: 1),  (Rating: 1), Thanks charging well  (Rating: 1), No issues at all. Many thanks. (Rating: 1), Free charge. Solar powered.  (Rating: 1), Awesome place. Free charge 👍 (Rating: 1), Awesome option in Mount Barker. Accessible 24/7. Free (Rating: 1), 3 phase @ 247v 16a - 12kw 
Cheers!!! (Rating: 1)","https://www.plugshare.com/location/499755","Solar Wholesalers"
